Barcode,Directive,Notes,Supplier,SupplierPartNumber,,Desc,Package,Parameters,MfrDesc,MfrPartNumber
SBX08,,"Shared tools, return when finished",,http://www.adafruit.com/product/441,,"SMD Book, 0805",,,SMT/SMD 0805 Resistor and Capacitor Book - 3725 pieces,Adafruit: 441
SBX06,,"Shared tools, return when finished",,http://www.adafruit.com/product/442,,"SMD Book, 0603",,,SMT 0603 Resistor and Capacitor Book - 3725 pieces,Adafruit: 442
SBXXX,,"Shared tools, return when finished",,http://www.adafruit.com/product/520,,"SMD Book, Misc",,,Blank SMT Storage Book - 20 pages,Adafruit: 520
PPBXX,,,,192-PERFBOARD,,Perfboard,,,,
BOB20-SOIC,,,,https://www.adafruit.com/products/1206,,SOIC-20 Breakout,,,SMT Breakout PCB for SOIC-20 or TSSOP-20 - 3 Pack!,Adafruit: 1206
ICSSO-HBPD,,Additional stock in TA cabinet,DigiKey,MC33883HEGR2CT-ND,,,,,,
MNP22-MOT,,,DigiKey,NDP7060-ND,,,,,,
MNSDP-MOT,,,DigiKey,IPD040N03LGINCT-ND,,,,,,
REP50-1.00,,"Shared tools, return when finished",DigiKey,KAL50FB1R00-ND,,,,,,
REP50-2.00,,"Shared tools, return when finished",DigiKey,KAL50FB2R00-ND,,,,,,
REP50-5.00,,"Shared tools, return when finished",DigiKey,KAL50FB5R00-ND,,,,,,
REP3W-100m,,,DigiKey,0.1AECT-ND,,,,,,
LEP05-RED,,,DigiKey,754-1264-ND,,,,,,
LEP05-YELLOW,,,DigiKey,754-1284-ND,,,,,,
LEP05-GREEN,,,DigiKey,754-1263-ND,,,,,,
ICP14-OPAMP,,,DigiKey,296-9542-5-ND,,,,,,
VRP22-ADJ,,,DigiKey,296-35739-5-ND,,,,,,
VRP22-3V3,,,DigiKey,LM3940IT-3.3/NOPB-ND,,,,,,
VRP22-5V,,,DigiKey,LM2940CT-5.0/NOPB-ND,,,,,,
MNP92-LOGIC,,,DigiKey,BS170-ND,,,,,,
MPP92-LOGIC,,,DigiKey,BS250P-ND,,,,,,
DZP35-5V6,,,DigiKey,1N5232BFSTR-ND,,,,,,
DZP35-3V6,,,DigiKey,1N5227B-ND,,,,,,
CAS28-22U0-TA,,Additional stock in TA cabinet,DigiKey,399-5263-1-ND,,,,,,
ICP22-BOOST,,Additional stock in TA cabinet,DigiKey,LT1370CR#PBF-ND,,,,,,
DISDP-8A,,,DigiKey,MBRD835LT4GOSCT-ND,,,,,,
DISDP-GEN,,,DigiKey,1N4148FS-ND,,,,,,
DIP20-3A,,,DigiKey,497-3216-1-ND,,,,,,
INPFI-24U31,,,DigiKey,237-1194-ND,,,,,,
TPP40-BARE,,,DigiKey,5021K-ND,,,,,,
TPS08-1,,,DigiKey,A106144CT-ND,,,,,,
TPS06-1,,,DigiKey,A106145CT-ND,,,,,,
ICP04-S6986,,Additional stock in TA cabinet,,S6986,,S6986,,Vcc=4.5-16V;fmax=0.5kHz,LIGHT MODULATION PHOTO IC,S6986
APP25,,,,http://www.alliedelec.com/anderson-power-products-1377g2-bk/70162020/,,Powerpole Cntct PCB,,,,1377G2
APH15,,,,http://www.powerwerx.com/anderson-powerpoles/powerpole-sets/15-amp-red-black-anderson-powerpole-sets.html,,Powerpole Housing,,"Type=Loose;Color=Red, Black",,"1327, 1327G6"
APH15-BONDED,NOLABEL,,,http://www.powerwerx.com/anderson-powerpoles/powerpole-sets/15-amp-permanently-bonded-red-black-anderson-powerpole-sets.html,,Powerpole Housing,,"Type=Bonded;Color=Red, Black",,"1327, 1327G6"
APW15,,,,http://www.powerwerx.com/anderson-powerpoles/housings-contacts/1332-15-amp-powerpole-contacts.html,,"Powerpole Cntct, 15A",,Wire=16-20 AWG,,1332
APW30,,,,http://www.powerwerx.com/anderson-powerpoles/housings-contacts/1331-30-amp-powerpole-contacts.html,,"Powerpole Cntct, 30A",,Wire=12-16 AWG,,1331
CNW01-MTA2,,Part numbers approximate,DigiKey,A30978-ND,,,,,,
CNW01-MTA3,,Part numbers approximate,DigiKey,A30979-ND,,,,,,
CNW01-MTA4,,Part numbers approximate,DigiKey,A30980-ND,,,,,,
CNW01-MTA5,,Part numbers approximate,DigiKey,A30981-ND,,,,,,
CNW01-MTA6,,Part numbers approximate,DigiKey,A30982-ND,,,,,,
CNW01-MTA8,,Part numbers approximate,DigiKey,A30984-ND,,,,,,
CNP01-MTA2,NOLABEL,Part numbers approximate,DigiKey,A19423-ND,,,,,,
CNP01-MTA3,NOLABEL,Part numbers approximate,DigiKey,A19430-ND,,,,,,
CNP01-MTA4,NOLABEL,Part numbers approximate,DigiKey,A19431-ND,,,,,,
CNP01-MTA5,NOLABEL,Part numbers approximate,DigiKey,A19432-ND,,,,,,
CNP01-MTA6,NOLABEL,Part numbers approximate,DigiKey,A19433-ND,,,,,,
CNP01-MTA8,NOLABEL,Part numbers approximate,DigiKey,A19435-ND,,,,,,
ISP01-8,,Part numbers approximate,DigiKey,ED3108-ND,,,,,,
ISP01-14,,Part numbers approximate,DigiKey,ED3114-ND,,,,,,
ISP01-16,,Part numbers approximate,DigiKey,ED3116-ND,,,,,,
ISP01-18,,Part numbers approximate,DigiKey,ED3118-ND,,,,,,
ICP14-NAND,,Part numbers approximate,DigiKey,296-1563-5-ND,,,,,,
ICP14-NOR,,Part numbers approximate,DigiKey,296-1564-5-ND,,,,,,
ICP14-INV,,Part numbers approximate,DigiKey,296-1566-5-ND,,,,,,
CNP01-2X7,NOLABEL,,DigiKey,MHC14K-ND,,,,,,
CNW01-10X2,,,DigiKey,ASC20H-ND,,,,,,
CNW01-7X2,,,DigiKey,ASC14H-ND,,,,,,
CNW01-X,,,,192-HEADER,,"Header, Breakaway",,"Pitch=0.1""",,
CNP01-X,,,,192-SOCKET,,"Socket, Breakaway",,"Pitch=0.1""",,
HSP22-1,,,DigiKey,HS337-ND,,,,,,
RFB06-RN41,,,,https://www.sparkfun.com/products/12582,,BlueSMiRF Gold,42x16.5x5.6mm,Vin=3.3v-6v;Class=1;Baud=2400-115200,SparkFun Bluetooth Modem - BlueSMiRF Gold,Sparkfun: 12582
