Page,Cells,Barcode,Notes,Supplier,SupplierPartNumber
Resistors: Common,2,RES06-1K00,,DigiKey,311-1.00KHRCT-ND
,2,RES08-1K00,,DigiKey,311-1.00KCRCT-ND
,2,RES06-4K70,,DigiKey,311-4.70KHRCT-ND
,2,RES08-4K70,,DigiKey,311-4.70KCRCT-ND
,2,RES06-10K0,,DigiKey,311-10.0KHRCT-ND
,2,RES08-10K0,,DigiKey,311-10.0KCRCT-ND
Resistors: 1-1k,2,RES06-470.,,DigiKey,311-470HRCT-ND
,2,RES08-470.,,DigiKey,311-470CRCT-ND
,2,RES06-10.0,,DigiKey,311-49.9HRCT-ND
,2,RES08-10.0,,DigiKey,311-10.0CRCT-ND
,2,RES06-49.9,,DigiKey,311-10.0HRCT-ND
,2,RES08-49.9,,DigiKey,311-49.9CRCT-ND
Resistors: 1k-10k,,RES06-2K00,,DigiKey,311-2.00KHRCT-ND
,,RES08-2K00,,DigiKey,311-2.00KCRCT-ND
,,RES06-6K19,,DigiKey,311-6.19KHRCT-ND
,,RES08-6K19,,DigiKey,311-6.19KCRCT-ND
,,RES06-8K20,,DigiKey,311-8.20KHRCT-ND
,,RES08-8K20,,DigiKey,311-8.20KCRCT-ND
Resistors: 10k-100k,,RES06-22K0,,DigiKey,311-22.0KHRCT-ND
,,RES08-22K0,,DigiKey,311-22.0KCRCT-ND
,,RES06-53K6,,DigiKey,311-53.6KHRCT-ND
,,RES08-53K6,,DigiKey,311-53.6KCRCT-ND
,,RES06-39K0,,DigiKey,311-39.0KHRCT-ND
,,RES08-39K0,,DigiKey,311-39.0KCRCT-ND
Trimpots,,PTSPV-1K00,,DigiKey,490-7004-1-ND
,,PTSPV-10K0,,DigiKey,490-7102-ND
,,PTSPV-47K0,,DigiKey,490-7795-1-ND
Capacitors: Common,2,CAS06-100N,,DigiKey,1276-1006-1-ND
,2,CAS08-100N,,DigiKey,1276-1003-1-ND
,2,CAS08-1U00,,DigiKey,1276-1066-1-ND
,2,CAS12-1U00,,DigiKey,399-8148-1-ND
,2,CAS08-10U0,,DigiKey,490-10499-1-ND
,2,CAS06-1U00,,DigiKey,1276-1102-1-ND
Capacitors: 1n-100n,,CAS06-4N70,,DigiKey,1276-2066-1-ND
,,CAS08-4N70,,DigiKey,1276-1155-1-ND
,,CAS06-10N0,,DigiKey,1276-1927-1-ND
,,CAS08-10N0,,DigiKey,1276-1015-1-ND
,,CAS06-22N0,,DigiKey,1276-1104-1-ND
,,CAS08-22N0,,DigiKey,1276-1081-1-ND
,,CAS06-33N0,,DigiKey,1276-2042-1-ND
,,CAS08-33N0,,DigiKey,1276-1796-1-ND
Capacitors: 100n-1u,,CAS12-100N,,DigiKey,1276-1017-1-ND
,,CAS06-470N,,DigiKey,1276-2082-1-ND
,,CAS08-470N,,DigiKey,1276-1074-1-ND
LEDs,,LES06-RED,,DigiKey,475-2512-1-ND
,,LES08-RED,,DigiKey,475-1415-1-ND
,,LES06-YELLOW,,DigiKey,754-1125-1-ND
,,LES08-YELLOW,,DigiKey,475-2560-1-ND
,,LES06-GREEN,,DigiKey,754-1121-1-ND
,,LES08-GREEN,,DigiKey,475-1410-1-ND
,,LES06-BLUE,,DigiKey,475-2816-1-ND
,,LES08-BLUE,,DigiKey,160-1645-1-ND
Semiconductors,,DZS12-5V6,,DigiKey,MMSZ5232B-FDICT-ND
,,DZS12-3V6,,DigiKey,MMSZ4685-TPMSCT-ND
,,MNS23-LOGIC,,DigiKey,IRLML6344TRPBFCT-ND
,,MPS23-LOGIC,,DigiKey,IRLML2246TRPBFCT-ND
,,ICS23-OPAMP,,DigiKey,MCP6001T-I/OTCT-ND
